TEAM,PREDICTIONS
Alabama,0.011900336915098715
Connecticut,0.010691011191352011
Creighton,0.010600419242365914
Baylor,0.01011940004307343
Marquette,0.01009604768777835
Duke,0.009884325749355275
Memphis,0.009883921388065122
Texas,0.009810689852537306
Houston,0.00980735275814988
UCLA,0.009705052930208374
San Diego St.,0.009641497845606568
Purdue,0.009236699879938845
Michigan St.,0.009214262371116284
Xavier,0.0091030596197849
USC,0.008804912068060566
Kansas St.,0.008703824096547685
Arizona,0.008654839510042894
Miami FL,0.008586015880800933
Kansas,0.008556932339094568
Auburn,0.008454102092740733
Penn St.,0.00826040641199946
Saint Mary's,0.008154744220934606
Texas A&M,0.008121321098444356
Gonzaga,0.008059016986242045
Maryland,0.008050435123468199
Utah St.,0.00789824798234445
TCU,0.007838296715258352
Indiana,0.007816814415608135
West Virginia,0.0077679683401796085
Tennessee,0.007754175293533358
Northwestern,0.0075648689856749034
Boise St.,0.007102533275742587
Iowa,0.00705810605373812
Arkansas,0.006837114400190105
Iowa St.,0.0068119021503994775
Providence,0.006761033486683327
Oral Roberts,0.006612895898417565
Missouri,0.0065711257923392555
Virginia,0.006203143373360755
Kentucky,0.006156344778486403
Pittsburgh,0.006025705347023097
Iona,0.005872472813215058
Arizona St.,0.005817807619258939
VCU,0.005731515164189715
North Carolina St.,0.005720406790165647
College of Charleston,0.00562109803455672
Drake,0.005554948972473241
Illinois,0.005503762903661814
Florida Atlantic,0.005264967632482737
Nevada,0.005248742269506914
Kent St.,0.004875401866121849
Northern Kentucky,0.00420690051178952
Mississippi St.,0.004109438494011583
Grand Canyon,0.0039409582682529
Princeton,0.003621165773381495
Louisiana Lafayette,0.0035335733759375675
Howard,0.003502335727087521
Vermont,0.003294200608720462
Furman,0.003285526340931561
UNC Asheville,0.0030233820671755392
UC Santa Barbara,0.002683385604656483
Colgate,0.002548517013291767
Montana St.,0.002511133349349196
Texas A&M Corpus Chris,0.0025041085587267226
Kennesaw St.,0.001901342948181034
Southeast Missouri St.,-3.77568886391769e-4
Texas Southern,-6.904882264068008e-4
Fairleigh Dickinson,-0.0016993536380442587
